ingredient_a,ingredient_b,strength,notes,source,cuisine
Lamb,Apricot,high,Classic combination where sweet fruit cuts through rich meat.,The Flavour Thesaurus,Middle Eastern
Pork,Apple,high,Sweetness of apple balances the fattiness of pork.,The Flavour Thesaurus,European
Chocolate,Chilli,high,The heat of chilli enhances the depth of cocoa.,The Flavour Thesaurus,Mexican
Goat Cheese,Beetroot,high,Earthy sweetness meets tangy creaminess.,The Flavour Thesaurus,European
Rosemary,Lamb,high,Resinous herbs stand up to robust meats.,The Flavour Thesaurus,Mediterranean
Watermelon,Feta,medium,Salty and refreshing sweet contrast.,The Flavour Thesaurus,Mediterranean
Beef,Mushroom,high,Deep umami synergy.,The Flavour Thesaurus,European
Chicken,Mushroom,medium,Earthy notes complement mild poultry.,The Flavour Thesaurus,European
Apple,Blackberry,high,Classic sweet and tart autumn pairing.,The Flavour Thesaurus,European
Basil,Tomato,high,Bright herbal notes lift the acidity of the tomato.,The Flavour Thesaurus,Mediterranean
Cabbage,Bacon,high,Salty fat balances sulfurous brassica notes.,The Flavour Thesaurus,European
Cardamom,Coffee,medium,Aromatic spice cuts through roasted bitterness.,The Flavour Thesaurus,Middle Eastern
Cauliflower,Cheese,high,Nutty cauliflower enhanced by sharp dairy.,The Flavour Thesaurus,European
Cucumber,Mint,medium,Cooling and refreshing elements combined.,The Flavour Thesaurus,Mediterranean
Fig,Prosciutto,high,Sweet honeyed fruit paired with salty cured meat.,The Flavour Thesaurus,Mediterranean
Ginger,Pork,high,Spicy heat cuts through rich pork fat.,The Flavour Thesaurus,Asian
Lemon,Chicken,high,Acidic lift for roasted or grilled poultry.,The Flavour Thesaurus,Global
Pea,Mint,medium,Fresh spring sweetness elevated by cooling herbs.,The Flavour Thesaurus,European
Rhubarb,Custard,high,Sharp acidic fruit smoothed by rich vanilla dairy.,The Flavour Thesaurus,European
Salmon,Dill,high,Anise-like herb cuts through oily fish.,The Flavour Thesaurus,Scandinavian
Strawberry,Balsamic,medium,Aged acid highlights the berry's natural sweetness.,The Flavour Thesaurus,Mediterranean
Truffle,Egg,high,Earthy luxury pairs with a rich blank canvas.,The Flavour Thesaurus,European
Walnut,Blue Cheese,high,Tannic crunch meets sharp and creamy mold.,The Flavour Thesaurus,European
Anise,Pork,medium,Licorice notes complement rich slow-cooked meat.,The Flavour Thesaurus,Asian
Asparagus,Egg,high,Grassy green notes wrapped in rich yolk.,The Flavour Thesaurus,European
